,month,cpi
290,1993.11,116.7
291,1993.10,115.9
292,1993.9,115.7
293,1993.8,116.0
294,1993.7,116.2
295,1993.6,115.1
296,1993.5,114.0
297,1993.4,112.6
298,1993.3,112.2
299,1993.2,110.5
300,1993.1,110.3
301,1992.12,108.8
302,1992.11,108.2
303,1992.10,107.9
304,1992.9,107.5
305,1992.8,105.8
306,1992.7,105.2
307,1992.6,104.8
308,1992.5,104.7
309,1992.4,107.1
310,1992.3,105.3
311,1992.2,105.3
312,1992.1,105.5
313,1991.12,104.5
314,1991.11,104.4
315,1991.10,104.8
316,1991.9,104.5
317,1991.8,104.9
318,1991.7,104.7
319,1991.6,104.4
320,1991.5,103.6
321,1991.4,101.3
322,1991.3,101.6
323,1991.2,101.0
324,1991.1,102.2
325,1990.12,104.3
326,1990.11,103.7
327,1990.10,103.1
328,1990.9,102.9
329,1990.8,102.5
330,1990.7,101.1
331,1990.6,101.1
332,1990.5,102.7
333,1990.4,103.2
334,1990.3,103.4
335,1990.2,104.4
336,1990.1,104.3
